Date,Open,High,Low,Close,Volume
"Feb 25, 2025",76.36,76.37,73.53,74.95,"19,534,000"
"Feb 24, 2025",78.65,78.88,74.85,76.42,"24,368,400"
"Feb 21, 2025",81.26,82.1,78.36,78.89,"21,774,300"
"Feb 20, 2025",81.23,81.84,80.06,81.26,"14,770,300"
"Feb 19, 2025",80.79,81.9,79.26,81.16,"14,973,400"
"Feb 18, 2025",79.85,81.51,79.75,81.49,"18,943,200"
"Feb 14, 2025",80.35,80.35,78.87,79.42,"15,405,700"
"Feb 13, 2025",79.12,80.53,78.51,80.29,"21,754,700"
"Feb 12, 2025",74.97,80.1,74.15,79.35,"33,142,400"
"Feb 11, 2025",78.91,79.2,76.6,76.95,"27,329,600"
"Feb 10, 2025",77.1,78.99,76.8,78.63,"42,551,700"
"Feb 7, 2025",70.36,76.78,70.13,74.6,"81,813,200"
"Feb 6, 2025",65.67,70.05,65.54,69.99,"45,940,200"
"Feb 5, 2025",66.5,66.75,63.5,64.48,"78,975,900"
"Feb 4, 2025",67.69,70.19,67.69,69.75,"33,786,200"
"Feb 3, 2025",65.3,68.85,65.18,67.29,"25,290,000"
"Jan 31, 2025",67.09,67.87,66.33,66.85,"19,805,600"
"Jan 30, 2025",63.42,67.22,63.42,66.59,"33,246,500"
"Jan 29, 2025",67.8,68.06,65.82,66.75,"29,592,600"
"Jan 28, 2025",68.33,69.68,67.16,68.07,"24,988,500"
"Jan 27, 2025",67.64,69.41,67.37,68.77,"20,904,600"
"Jan 24, 2025",68.69,69.31,68.4,68.56,"14,360,300"
"Jan 23, 2025",67.6,68.37,67.24,68.3,"15,355,400"
"Jan 22, 2025",68.39,68.43,67.5,67.82,"18,130,000"
"Jan 21, 2025",68,68.18,66.85,67.74,"21,423,600"
"Jan 17, 2025",68.8,69.02,67.23,67.34,"27,139,200"
"Jan 16, 2025",67.75,69.58,67.64,68.58,"29,013,100"
"Jan 15, 2025",66.01,67.25,66.01,67.02,"22,704,800"
"Jan 14, 2025",66.16,66.81,64.62,64.84,"25,735,800"
"Jan 13, 2025",65.15,67.19,65.02,65.7,"23,960,100"
"Jan 10, 2025",64.5,66.6,63.96,65.97,"30,728,800"
"Jan 8, 2025",66.4,66.68,64.12,64.91,"24,523,300"
"Jan 7, 2025",68.49,68.84,65.95,66.15,"35,347,800"
"Jan 6, 2025",66.97,67.35,66.04,66.31,"32,980,700"
"Jan 3, 2025",63.69,65.22,63.44,64.59,"28,553,800"
"Jan 2, 2025",62.19,63.39,61.31,63.17,"25,899,100"
"Dec 31, 2024",61,61.1,60.17,60.32,"14,487,300"
"Dec 30, 2024",60.51,61.37,60.12,60.77,"17,709,200"
"Dec 27, 2024",61.19,61.26,60.02,61.13,"13,483,600"
"Dec 26, 2024",61.6,61.97,61.16,61.56,"12,659,000"
"Dec 24, 2024",61.97,61.98,60.88,61.71,"7,882,500"
"Dec 23, 2024",60.88,62.22,60.76,61.87,"16,093,600"
"Dec 20, 2024",60.08,61.39,59.75,60.73,"26,377,700"
"Dec 19, 2024",61.85,62.31,59.98,60.21,"27,811,400"
"Dec 18, 2024",61.39,63.94,60.85,61.23,"46,736,700"
"Dec 17, 2024",59.42,61.04,59.33,61.03,"35,025,500"
"Dec 16, 2024",60.31,61.3,60.12,60.25,"38,612,400"
"Dec 13, 2024",61.86,62.26,59.74,59.93,"47,325,300"
"Dec 12, 2024",63.17,63.54,61.25,61.41,"45,673,200"
"Dec 11, 2024",64.5,64.69,60.23,61.18,"71,089,500"
"Dec 10, 2024",65.67,65.76,64.64,64.96,"23,672,900"
"Dec 9, 2024",65.5,66.17,65.06,65.74,"27,602,900"
"Dec 6, 2024",66.45,67.1,65.2,66.09,"36,413,200"
"Dec 5, 2024",71.93,72.03,64.28,65.23,"77,320,400"
"Dec 4, 2024",71.4,72.4,70.65,72.16,"17,263,100"
