DOY,MON,DY,TMAX,#YRS,TMIN,#YRS,PRECIP,#YRS,SD MAX,SD MIN
1,1,1,59,29,37.8,29,0.135,29,5.52,6.961
2,1,2,59,29,37.8,29,0.136,29,5.487,7.009
3,1,3,59,29,37.8,29,0.135,29,5.492,7.051
4,1,4,59.1,29,37.9,29,0.132,29,5.554,7.091
5,1,5,59.2,29,37.9,29,0.132,29,5.552,7.067
6,1,6,59.3,29,38,29,0.13,29,5.553,7.04
7,1,7,59.4,29,38,29,0.131,29,5.558,6.984
8,1,8,59.5,29,38.2,29,0.134,29,5.569,6.978
9,1,9,59.5,29,38.3,29,0.14,29,5.54,6.973
10,1,10,59.5,29,38.5,29,0.148,29,5.561,6.971
11,1,11,59.6,29,38.5,29,0.151,29,5.587,6.919
12,1,12,59.7,29,38.6,29,0.151,29,5.569,6.884
13,1,13,59.8,29,38.7,29,0.15,29,5.545,6.848
14,1,14,60,29,38.7,29,0.146,29,5.516,6.816
15,1,15,60,29,38.8,29,0.147,29,5.528,6.732
16,1,16,60.1,29,38.7,29,0.141,29,5.564,6.666
17,1,17,60.3,29,38.7,29,0.136,29,5.55,6.628
18,1,18,60.4,29,38.7,29,0.133,29,5.54,6.65
19,1,19,60.5,29,38.8,29,0.132,29,5.543,6.646
20,1,20,60.7,29,38.8,29,0.125,29,5.558,6.652
21,1,21,60.9,29,38.9,28,0.124,29,5.637,6.677
22,1,22,61,29,38.9,28,0.124,29,5.684,6.772
23,1,23,61.2,29,39,28,0.123,29,5.696,6.793
24,1,24,61.2,29,39,29,0.127,29,5.75,6.828
25,1,25,61.3,29,39.1,29,0.13,29,5.797,6.821
26,1,26,61.3,29,39.1,29,0.131,29,5.881,6.844
27,1,27,61.4,29,39.1,29,0.133,29,5.889,6.786
28,1,28,61.6,29,39.2,29,0.131,29,5.93,6.706
29,1,29,61.7,29,39.3,29,0.133,29,5.946,6.64
30,1,30,61.9,29,39.5,29,0.133,29,6.008,6.603
31,1,31,62,29,39.5,29,0.136,29,6.089,6.533
32,2,1,62.1,26,39.7,26,0.138,26,6.167,6.516
33,2,2,62.2,26,39.8,26,0.141,26,6.118,6.475
34,2,3,62.3,26,40,26,0.143,26,6.143,6.506
35,2,4,62.4,26,40.2,26,0.144,26,6.169,6.489
36,2,5,62.5,26,40.3,26,0.145,26,6.155,6.494
37,2,6,62.6,26,40.4,26,0.149,26,6.228,6.458
38,2,7,62.8,26,40.6,26,0.146,26,6.311,6.394
39,2,8,63,26,40.7,26,0.139,26,6.389,6.351
40,2,9,63.1,26,40.8,26,0.138,26,6.439,6.325
41,2,10,63.2,26,40.8,26,0.14,26,6.46,6.295
42,2,11,63.3,26,40.9,26,0.138,26,6.533,6.266
43,2,12,63.5,26,41,26,0.137,26,6.615,6.193
44,2,13,63.7,26,41.1,26,0.137,26,6.676,6.155
45,2,14,63.8,26,41.3,26,0.141,26,6.725,6.115
46,2,15,64,26,41.5,26,0.141,26,6.751,6.051
47,2,16,64.1,26,41.7,26,0.144,26,6.77,5.981
48,2,17,64.2,26,41.9,26,0.147,26,6.734,5.906
49,2,18,64.3,26,42,26,0.146,26,6.731,5.875
50,2,19,64.3,26,42.1,26,0.15,26,6.679,5.868
51,2,20,64.3,26,42.2,25,0.151,26,6.703,5.792
52,2,21,64.4,26,42.3,26,0.154,26,6.741,5.727
53,2,22,64.6,26,42.3,26,0.151,26,6.75,5.667
54,2,23,64.8,26,42.4,26,0.146,26,6.763,5.649
55,2,24,65,26,42.6,26,0.144,26,6.788,5.632
56,2,25,65.2,26,42.7,26,0.146,26,6.845,5.658
57,2,26,65.4,26,42.9,26,0.148,25,6.875,5.67
58,2,27,65.6,26,43.1,26,0.146,26,6.884,5.646
59,2,28,65.7,26,43.2,26,0.147,26,6.943,5.66
60,2,29,65.8,7,43.3,7,0.143,7,6.935,5.657
61,3,1,66,27,43.4,26,0.142,27,6.936,5.574
62,3,2,66.1,27,43.4,27,0.139,28,7.023,5.518
63,3,3,66.3,27,43.5,27,0.135,28,7.064,5.42
64,3,4,66.4,27,43.5,27,0.132,28,7.101,5.366
65,3,5,66.7,27,43.6,27,0.127,28,7.23,5.367
66,3,6,66.9,27,43.7,27,0.119,27,7.278,5.349
67,3,7,67.1,27,43.8,27,0.119,27,7.341,5.322
68,3,8,67.2,27,43.8,27,0.119,27,7.314,5.32
69,3,9,67.3,27,43.9,27,0.118,27,7.31,5.313
70,3,10,67.4,27,43.9,27,0.118,28,7.355,5.323
71,3,11,67.5,27,44,27,0.119,28,7.305,5.322
72,3,12,67.6,27,44.1,27,0.119,27,7.266,5.312
73,3,13,67.7,27,44.1,27,0.116,27,7.265,5.271
74,3,14,67.8,27,44.1,27,0.113,27,7.234,5.253
75,3,15,67.9,27,44.1,27,0.112,27,7.267,5.283
76,3,16,68,27,44,27,0.109,27,7.306,5.288
77,3,17,68.3,27,44,27,0.105,27,7.396,5.285
78,3,18,68.5,27,44,27,0.102,27,7.489,5.237
79,3,19,68.7,27,44.1,27,0.096,27,7.578,5.173
80,3,20,68.9,27,44.1,27,0.093,27,7.592,5.175
81,3,21,69.1,27,44.2,27,0.09,27,7.657,5.142
82,3,22,69.2,27,44.2,27,0.091,27,7.672,5.097
83,3,23,69.3,27,44.3,27,0.088,27,7.729,5.055
84,3,24,69.4,27,44.3,27,0.087,27,7.761,5.028
85,3,25,69.6,27,44.3,27,0.082,27,7.784,4.991
86,3,26,69.6,27,44.3,27,0.077,27,7.814,4.945
87,3,27,69.7,27,44.3,27,0.076,27,7.861,4.906
88,3,28,69.9,27,44.3,27,0.073,27,7.854,4.872
89,3,29,70,27,44.3,27,0.073,27,7.948,4.855
90,3,30,70.1,27,44.4,27,0.071,27,7.967,4.867
91,3,31,70.3,27,44.4,27,0.068,27,8.004,4.907
92,4,1,70.5,30,44.5,30,0.065,30,8.066,4.927
93,4,2,70.6,30,44.5,30,0.064,30,8.095,4.961
94,4,3,70.7,30,44.5,30,0.065,29,8.097,4.945
95,4,4,70.7,30,44.5,30,0.065,30,8.075,4.916
96,4,5,70.8,30,44.6,30,0.061,30,8.026,4.933
97,4,6,71,30,44.7,30,0.061,30,8.078,4.898
98,4,7,71.2,28,44.8,28,0.058,30,8.182,4.886
99,4,8,71.4,29,44.9,29,0.053,30,8.271,4.847
100,4,9,71.6,29,45,28,0.05,30,8.364,4.788
101,4,10,71.8,30,45.1,30,0.046,29,8.471,4.742
102,4,11,72,30,45.2,30,0.044,30,8.509,4.762
103,4,12,72.2,30,45.2,30,0.042,30,8.666,4.778
104,4,13,72.4,29,45.4,29,0.041,30,8.725,4.787
105,4,14,72.7,30,45.5,30,0.042,30,8.864,4.78
106,4,15,72.8,30,45.6,30,0.041,30,8.932,4.795
107,4,16,72.9,30,45.8,30,0.04,30,8.948,4.811
108,4,17,73.1,30,45.9,30,0.04,30,8.951,4.827
109,4,18,73.2,30,46.1,30,0.039,30,8.996,4.771
110,4,19,73.4,29,46.2,30,0.038,30,9.006,4.76
111,4,20,73.6,30,46.4,30,0.036,30,9.052,4.756
112,4,21,73.9,30,46.5,30,0.035,30,9.093,4.753
113,4,22,74.1,30,46.7,30,0.035,30,9.132,4.762
114,4,23,74.3,29,46.8,29,0.034,30,9.169,4.758
115,4,24,74.5,30,47,30,0.034,30,9.174,4.786
116,4,25,74.7,30,47.1,30,0.034,30,9.212,4.788
117,4,26,74.9,30,47.2,30,0.031,30,9.256,4.769
118,4,27,75.1,30,47.3,30,0.029,30,9.245,4.744
119,4,28,75.3,30,47.4,30,0.027,30,9.281,4.727
120,4,29,75.5,30,47.5,30,0.027,30,9.244,4.671
121,4,30,75.7,30,47.6,30,0.026,30,9.184,4.631
122,5,1,75.9,29,47.8,29,0.026,29,9.175,4.633
123,5,2,76.2,29,47.9,29,0.026,29,9.092,4.647
124,5,3,76.4,29,48.1,29,0.025,29,9.142,4.665
125,5,4,76.7,29,48.3,29,0.024,29,9.253,4.65
126,5,5,76.9,29,48.4,29,0.022,29,9.238,4.652
127,5,6,77,29,48.5,29,0.021,29,9.163,4.643
128,5,7,77.2,29,48.6,29,0.021,29,9.087,4.633
129,5,8,77.3,29,48.6,29,0.02,28,9.084,4.648
130,5,9,77.6,29,48.8,29,0.019,29,9.003,4.663
131,5,10,77.8,29,49,29,0.018,29,8.976,4.642
132,5,11,77.9,29,49.1,29,0.019,29,8.938,4.587
133,5,12,78,29,49.3,29,0.019,29,8.883,4.553
134,5,13,78,29,49.4,29,0.017,28,8.729,4.518
135,5,14,78,28,49.5,28,0.017,29,8.681,4.509
136,5,15,78.1,29,49.7,29,0.016,29,8.646,4.468
137,5,16,78.2,29,49.8,29,0.016,29,8.664,4.462
138,5,17,78.5,29,49.9,29,0.015,29,8.632,4.448
139,5,18,78.6,29,50,29,0.014,29,8.65,4.451
140,5,19,78.8,29,50.2,29,0.013,29,8.631,4.409
141,5,20,78.9,29,50.3,28,0.013,29,8.631,4.396
142,5,21,79,29,50.4,29,0.012,29,8.538,4.344
143,5,22,79.1,29,50.6,29,0.012,29,8.527,4.327
144,5,23,79.2,29,50.7,29,0.012,29,8.583,4.326
145,5,24,79.3,29,50.8,29,0.012,29,8.601,4.326
146,5,25,79.3,29,51,29,0.012,29,8.529,4.349
147,5,26,79.5,29,51.1,29,0.012,29,8.439,4.343
148,5,27,79.8,29,51.3,29,0.012,29,8.379,4.297
149,5,28,80,29,51.4,29,0.011,29,8.372,4.277
150,5,29,80,29,51.5,29,0.011,29,8.311,4.262
151,5,30,80.2,29,51.5,29,0.01,29,8.233,4.146
152,5,31,80.3,29,51.6,28,0.008,29,8.288,4.059
153,6,1,80.5,27,51.7,27,0.008,27,8.278,4.012
154,6,2,80.6,27,51.8,27,0.008,27,8.192,3.955
155,6,3,80.8,27,51.9,27,0.009,27,8.19,3.913
156,6,4,81.1,26,52,26,0.008,26,8.164,3.885
157,6,5,81.3,25,52.1,25,0.007,26,8.195,3.908
158,6,6,81.6,25,52.3,25,0.007,26,8.225,3.929
159,6,7,81.7,26,52.4,26,0.007,26,8.321,3.961
160,6,8,81.9,25,52.4,25,0.007,27,8.372,3.968
161,6,9,82.1,27,52.5,27,0.006,27,8.272,3.947
162,6,10,82.4,26,52.5,26,0.006,27,8.221,3.91
163,6,11,82.6,26,52.6,24,0.006,27,8.289,3.938
164,6,12,82.9,26,52.7,25,0.004,27,8.317,3.907
165,6,13,83.2,26,52.8,26,0.004,27,8.308,3.901
166,6,14,83.5,27,52.9,27,0.004,27,8.268,3.87
167,6,15,83.6,27,53,26,0.003,27,8.234,3.838
168,6,16,83.7,27,53,27,0.004,27,8.15,3.798
169,6,17,84,26,53.1,25,0.004,27,8.145,3.816
170,6,18,84.3,26,53.2,25,0.004,27,8.086,3.775
171,6,19,84.5,26,53.3,26,0.003,26,8.1,3.757
172,6,20,84.7,26,53.3,26,0.003,26,8.07,3.728
173,6,21,85,26,53.4,26,0.002,26,7.924,3.686
174,6,22,85.2,26,53.5,26,0.002,26,7.792,3.632
175,6,23,85.5,27,53.6,27,0.002,26,7.798,3.589
176,6,24,85.6,27,53.7,26,0.002,27,7.793,3.563
177,6,25,85.7,26,53.7,26,0.002,27,7.779,3.586
178,6,26,85.9,27,53.8,26,0.002,27,7.746,3.614
179,6,27,86.1,27,53.9,27,0.002,27,7.766,3.621
180,6,28,86.3,26,54.1,25,0.002,27,7.818,3.723
181,6,29,86.5,27,54.2,27,0.002,27,7.811,3.796
182,6,30,86.7,27,54.3,27,0.001,27,7.718,3.773
